ID,Date,Date2,Replicate,Treatment,Dispersal,Salinity,Salinity_real,NH4um,NO3um,PO4um,Maple_dmass,Spartina_dmass,Phrag_dmass,Sample..
4,6/11/15,0,A,4,3,0,0.3,0.52,0.00,0.00,2.66,2.70,8.25,A_4_11JUN15
5,6/11/15,0,A,5,2,5,5.72,0.92,0.00,7.23,2.19,1.56,5.03,A_5_11JUN15
6,6/11/15,0,A,6,3,5,6.04,0.73,0.97,5.09,2.04,1.82,5.01,A_6_11JUN15
7,6/11/15,0,A,7,2,9,9.57,1.11,0.00,6.23,1.28,1.14,5.20,A_7_11JUN15
8,6/11/15,0,A,8,3,9,10.6,1.02,0.00,7.27,1.39,0.47,4.01,A_8_11JUN15
9,6/11/15,0,A,9,2,13,15.32,0.85,0.00,8.37,1.07,0.83,0.79,A_9_11JUN15
10,6/11/15,0,A,10,3,13,13.41,1.33,0.00,8.36,2.23,1.66,5.48,A_10_11JUN15
11,6/11/15,0,A,11,2,0,0.34,0.92,0.00,0.00,2.52,1.85,5.20,A_11_11JUN15
15,6/11/15,0,B,4,3,0,0.31,0.82,0.81,7.07,1.70,1.75,5.17,B_4_11JUN15
16,6/11/15,0,B,5,2,5,7.06,0.81,0.00,4.14,1.85,1.93,6.52,B_5_11JUN15
17,6/11/15,0,B,6,3,5,6.12,0.66,0.60,5.52,1.89,1.56,4.30,B_6_11JUN15
19,6/11/15,0,B,8,3,9,10.11,0.73,0.00,5.91,1.76,1.62,5.47,B_8_11JUN15
20,6/11/15,0,B,9,2,13,13.18,0.62,0.00,3.20,1.69,1.41,2.84,B_9_11JUN15
21,6/11/15,0,B,10,3,13,12.76,0.70,1.06,0.00,1.67,1.51,4.67,B_10_11JUN15
22,6/11/15,0,B,11,2,0,0.33,0.69,0.00,0.17,2.10,1.88,5.55,B_11_11JUN15
26,6/11/15,0,C,4,3,0,0.33,1.08,0.00,0.00,2.89,2.40,7.26,C_4_12JUN15
27,6/11/15,0,C,5,2,5,5.18,1.51,0.00,5.62,2.08,1.83,5.19,C_5_12JUN15
28,6/11/15,0,C,6,3,5,5.39,2.05,0.00,6.56,1.90,1.70,5.42,C_6_12JUN15
29,6/11/15,0,C,7,2,9,9.24,1.08,0.77,7.64,1.43,1.39,5.52,C_7_12JUN15
30,6/11/15,0,C,8,3,9,9.68,1.20,0.00,6.46,1.86,1.57,4.53,C_8_12JUN15
31,6/11/15,0,C,9,2,13,13.43,1.07,0.00,5.20,2.03,1.57,4.94,C_9_12JUN15
32,6/11/15,0,C,10,3,13,13.12,1.20,0.00,6.60,1.41,1.63,5.27,C_10_12JUN15
33,6/11/15,0,C,11,2,0,0.31,0.92,0.00,0.00,2.67,2.45,7.24,C_11_12JUN15
37,6/11/15,0,D,4,3,0,0.32,1.24,0.00,0.00,2.19,2.05,5.70,D_4_12JUN15
38,6/11/15,0,D,5,2,5,7.28,0.99,0.00,6.03,1.91,1.69,2.91,D_5_12JUN15
39,6/11/15,0,D,6,3,5,5.17,1.15,0.00,8.88,2.13,1.93,6.24,D_6_12JUN15
40,6/11/15,0,D,7,2,9,9.64,0.72,0.00,6.87,2.40,1.51,5.56,D_7_12JUN15
41,6/11/15,0,D,8,3,9,9.16,1.24,0.00,7.39,2.24,1.51,5.30,D_8_12JUN15
42,6/11/15,0,D,9,2,13,13,0.89,0.00,8.70,1.94,1.14,4.20,D_9_12JUN15
43,6/11/15,0,D,10,3,13,12.5,3.63,0.00,4.10,2.03,1.41,4.54,D_10_12JUN15
44,6/11/15,0,D,11,2,0,0.3,1.18,1.22,0.00,2.02,2.13,1.66,D_11_12JUN15
224,7/26/15,45,A,4,3,0,0.53,1.09,0.00,0.00,2.66,2.70,8.25,A_4_11JUN15
225,7/26/15,45,A,5,2,5,4.33,1.77,0.00,0.00,2.19,1.56,5.03,A_5_11JUN15
226,7/26/15,45,A,6,3,5,4.51,1.59,0.00,0.00,2.04,1.82,5.01,A_6_11JUN15
227,7/26/15,45,A,7,2,9,7.77,1.73,0.00,0.00,1.28,1.14,5.20,A_7_11JUN15
228,7/26/15,45,A,8,3,9,8.54,1.41,0.54,0.00,1.39,0.47,4.01,A_8_11JUN15
229,7/26/15,45,A,9,2,13,10.55,1.04,0.00,0.00,1.07,0.83,0.79,A_9_11JUN15
230,7/26/15,45,A,10,3,13,10.92,1.18,0.00,0.08,2.23,1.66,5.48,A_10_11JUN15
231,7/26/15,45,A,11,2,0,0.44,1.14,0.00,0.11,2.52,1.85,5.20,A_11_11JUN15
235,7/26/15,45,B,4,3,0,0.51,1.24,0.00,0.00,1.70,1.75,5.17,B_4_11JUN15
236,7/26/15,45,B,5,2,5,5.02,1.27,0.00,0.00,1.85,1.93,6.52,B_5_11JUN15
237,7/26/15,45,B,6,3,5,4.58,1.25,0.00,0.00,1.89,1.56,4.30,B_6_11JUN15
239,7/26/15,45,B,8,3,9,8,1.69,0.00,0.00,1.76,1.62,5.47,B_8_11JUN15
240,7/26/15,45,B,9,2,13,11.33,2.18,0.00,0.00,1.69,1.41,2.84,B_9_11JUN15
241,7/26/15,45,B,10,3,13,11.11,1.50,0.00,0.00,1.67,1.51,4.67,B_10_11JUN15
242,7/26/15,45,B,11,2,0,0.39,NA,NA,NA,2.10,1.88,5.55,B_11_11JUN15
246,7/26/15,45,C,4,3,0,0.48,1.69,0.56,0.00,2.89,2.40,7.26,C_4_12JUN15
247,7/26/15,45,C,5,2,5,4.19,2.21,0.00,0.00,2.08,1.83,5.19,C_5_12JUN15
248,7/26/15,45,C,6,3,5,4.71,1.20,0.00,0.00,1.90,1.70,5.42,C_6_12JUN15
249,7/26/15,45,C,7,2,9,7.41,1.22,1.09,0.00,1.43,1.39,5.52,C_7_12JUN15
250,7/26/15,45,C,8,3,9,8.45,1.33,0.00,0.09,1.86,1.57,4.53,C_8_12JUN15
251,7/26/15,45,C,9,2,13,11.34,1.99,0.65,0.15,2.03,1.57,4.94,C_9_12JUN15
252,7/26/15,45,C,10,3,13,10.45,1.69,0.00,0.10,1.41,1.63,5.27,C_10_12JUN15
253,7/26/15,45,C,11,2,0,0.41,1.17,0.00,0.00,2.67,2.45,7.24,C_11_12JUN15
257,7/26/15,45,D,4,3,0,0.45,1.77,0.00,0.00,2.19,2.05,5.70,D_4_12JUN15
258,7/26/15,45,D,5,2,5,4.48,1.49,0.00,0.00,1.91,1.69,2.91,D_5_12JUN15
259,7/26/15,45,D,6,3,5,4.46,1.99,0.00,0.00,2.13,1.93,6.24,D_6_12JUN15
260,7/26/15,45,D,7,2,9,7.94,1.50,0.00,0.00,2.40,1.51,5.56,D_7_12JUN15
261,7/26/15,45,D,8,3,9,7.89,1.69,0.00,0.00,2.24,1.51,5.30,D_8_12JUN15
262,7/26/15,45,D,9,2,13,7,1.72,0.00,0.00,1.94,1.14,4.20,D_9_12JUN15
263,7/26/15,45,D,10,3,13,11.66,1.82,0.00,0.00,2.03,1.41,4.54,D_10_12JUN15
264,7/26/15,45,D,11,2,0,0.35,1.09,0.00,0.00,2.02,2.13,1.66,D_11_12JUN15
92,6/29/15,18,A,4,3,0,0.4,NA,NA,NA,2.66,2.70,8.25,A_4_11JUN15
93,6/29/15,18,A,5,2,5,5.33,NA,NA,NA,2.19,1.56,5.03,A_5_11JUN15
94,6/29/15,18,A,6,3,5,5.58,NA,NA,NA,2.04,1.82,5.01,A_6_11JUN15
95,6/29/15,18,A,7,2,9,10.06,NA,NA,NA,1.28,1.14,5.20,A_7_11JUN15
96,6/29/15,18,A,8,3,9,10.11,NA,NA,NA,1.39,0.47,4.01,A_8_11JUN15
97,6/29/15,18,A,9,2,13,12.17,NA,NA,NA,1.07,0.83,0.79,A_9_11JUN15
98,6/29/15,18,A,10,3,13,13.6,NA,NA,NA,2.23,1.66,5.48,A_10_11JUN15
99,6/29/15,18,A,11,2,0,0.43,NA,NA,NA,2.52,1.85,5.20,A_11_11JUN15
103,6/29/15,18,B,4,3,0,0.48,NA,NA,NA,1.70,1.75,5.17,B_4_11JUN15
104,6/29/15,18,B,5,2,5,6.48,NA,NA,NA,1.85,1.93,6.52,B_5_11JUN15
105,6/29/15,18,B,6,3,5,5.76,NA,NA,NA,1.89,1.56,4.30,B_6_11JUN15
107,6/29/15,18,B,8,3,9,9.1,NA,NA,NA,1.76,1.62,5.47,B_8_11JUN15
108,6/29/15,18,B,9,2,13,14.29,NA,NA,NA,1.69,1.41,2.84,B_9_11JUN15
109,6/29/15,18,B,10,3,13,13.25,NA,NA,NA,1.67,1.51,4.67,B_10_11JUN15
110,6/29/15,18,B,11,2,0,0.41,NA,NA,NA,2.10,1.88,5.55,B_11_11JUN15
114,6/29/15,18,C,4,3,0,0.45,NA,NA,NA,2.89,2.40,7.26,C_4_12JUN15
115,6/29/15,18,C,5,2,5,5.38,NA,NA,NA,2.08,1.83,5.19,C_5_12JUN15
116,6/29/15,18,C,6,3,5,5.68,NA,NA,NA,1.90,1.70,5.42,C_6_12JUN15
117,6/29/15,18,C,7,2,9,8.58,NA,NA,NA,1.43,1.39,5.52,C_7_12JUN15
118,6/29/15,18,C,8,3,9,8.76,NA,NA,NA,1.86,1.57,4.53,C_8_12JUN15
119,6/29/15,18,C,9,2,13,13.78,NA,NA,NA,2.03,1.57,4.94,C_9_12JUN15
120,6/29/15,18,C,10,3,13,12.16,NA,NA,NA,1.41,1.63,5.27,C_10_12JUN15
121,6/29/15,18,C,11,2,0,0.43,NA,NA,NA,2.67,2.45,7.24,C_11_12JUN15
125,6/29/15,18,D,4,3,0,0.43,NA,NA,NA,2.19,2.05,5.70,D_4_12JUN15
126,6/29/15,18,D,5,2,5,5.28,NA,NA,NA,1.91,1.69,2.91,D_5_12JUN15
127,6/29/15,18,D,6,3,5,5.58,NA,NA,NA,2.13,1.93,6.24,D_6_12JUN15
128,6/29/15,18,D,7,2,9,8.92,NA,NA,NA,2.40,1.51,5.56,D_7_12JUN15
129,6/29/15,18,D,8,3,9,9.49,NA,NA,NA,2.24,1.51,5.30,D_8_12JUN15
130,6/29/15,18,D,9,2,13,13.56,NA,NA,NA,1.94,1.14,4.20,D_9_12JUN15
131,6/29/15,18,D,10,3,13,13.57,NA,NA,NA,2.03,1.41,4.54,D_10_12JUN15
132,6/29/15,18,D,11,2,0,0.38,NA,NA,NA,2.02,2.13,1.66,D_11_12JUN15